system:index,Dynamic world LULC,EVI,Elevation in m,Gross primary productivity in kg C per square m per 16 days,Land surface temperature in °C,Leaf area index,Methane ppb,Monthly precipitation in mm,NDVI,.geo
145,Trees,0.52,203,733.73,27.51,5.42,1842.5,51.29,0.87,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-58.83965110982865,-8.533995199135454]}"
146,Trees,0.5,226,724.73,28.18,5.33,1848.89,41.41,0.86,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.94133582570913,-8.533995199135454]}"
147,Trees,0.5,248,718.0,27.29,5.15,1843.06,40.89,0.86,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.04302054158961,-8.533995199135454]}"
148,Trees,0.5,340,727.0,27.06,4.91,1843.16,27.06,0.85,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.14470525747009,-8.533995199135454]}"
149,Trees,0.46,429,686.73,30.44,3.61,1854.06,14.89,0.75,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.24638997335057,-8.533995199135454]}"
150,Trees,0.5,349,766.73,27.23,5.44,1847.88,12.99,0.86,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-54.34807468923105,-8.533995199135454]}"
151,Trees,0.53,311,774.64,26.87,5.52,1834.33,15.86,0.87,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.44975940511153,-8.533995199135454]}"
152,Trees,0.51,291,744.0,26.99,5.23,1833.5,12.1,0.85,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-52.551444120992,-8.533995199135454]}"
153,Trees,0.49,390,730.64,27.58,4.66,1857.08,13.67,0.84,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-51.65312883687248,-8.533995199135454]}"
154,Grass,0.44,278,614.55,30.09,3.21,1861.7,13.23,0.71,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-50.754813552752964,-8.533995199135454]}"
155,Shrub and scrub,0.36,188,501.18,33.95,1.81,1864.26,15.73,0.65,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.85649826863344,-8.533995199135454]}"
156,Shrub and scrub,0.37,235,493.45,33.39,1.75,1858.03,17.97,0.65,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.95818298451392,-8.533995199135454]}"
157,Shrub and scrub,0.36,247,500.27,32.62,1.81,1859.58,13.48,0.67,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.0598677003944,-8.533995199135454]}"
158,Trees,0.35,313,456.0,31.5,1.91,1856.72,7.76,0.63,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.16155241627487,-8.533995199135454]}"
159,Trees,0.32,448,429.0,31.06,1.74,1853.37,6.19,0.61,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-46.26323713215535,-8.533995199135454]}"
160,Trees,0.5,167,717.36,27.55,5.1,1842.99,68.26,0.86,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-59.73796639394818,-7.635679915015932]}"
161,Trees,0.5,154,724.73,27.83,5.24,1834.72,53.19,0.86,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-58.83965110982865,-7.635679915015932]}"
162,Water,0.5,140,721.36,28.54,5.11,1835.5,50.04,0.85,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.94133582570913,-7.635679915015932]}"
163,Trees,0.49,299,710.09,27.34,5.03,1832.34,53.03,0.84,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.04302054158961,-7.635679915015932]}"
164,Trees,0.5,276,733.45,27.25,5.2,1840.81,32.12,0.85,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.14470525747009,-7.635679915015932]}"
165,Trees,0.47,273,692.09,29.28,4.06,1863.21,21.45,0.77,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.24638997335057,-7.635679915015932]}"
166,Trees,0.5,309,764.36,26.86,5.44,1838.95,27.93,0.87,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-54.34807468923105,-7.635679915015932]}"
