system:index,Dynamic world LULC,EVI,Elevation in m,Gross primary productivity in kg C per square m per 16 days,Land surface temperature in °C,Leaf area index,Methane ppb,Monthly precipitation in mm,NDVI,.geo
80,Built,0.41,56,0.0,25.84,2.35,1866.28,34.3,0.66,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.281591475707126,52.45712101615946]}"
81,Built,0.34,56,0.0,25.84,2.35,1866.88,34.3,0.54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.29057462854832,52.45712101615946]}"
82,Built,0.35,56,0.0,26.54,1.79,1866.88,34.3,0.55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.299557781389517,52.45712101615946]}"
83,Built,0.39,55,0.0,26.54,1.79,1866.99,34.3,0.61,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.308540934230711,52.45712101615946]}"
84,Built,0.33,49,0.0,26.54,1.79,1867.22,34.3,0.54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.317524087071908,52.45712101615946]}"
85,Built,0.26,49,0.0,26.54,1.79,1867.24,34.3,0.47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.326507239913102,52.45712101615946]}"
86,Built,0.28,50,0.0,26.54,1.79,1867.24,34.3,0.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.335490392754297,52.45712101615946]}"
87,Trees,0.41,54,0.0,26.54,1.79,1867.55,34.3,0.66,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.344473545595493,52.45712101615946]}"
88,Built,0.43,55,0.0,26.54,1.79,1867.68,34.42,0.64,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.353456698436688,52.45712101615946]}"
89,Built,0.39,50,0.0,26.54,1.79,1866.75,34.42,0.64,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.362439851277882,52.45712101615946]}"
90,Built,0.33,52,0.0,26.54,1.79,1866.91,34.42,0.58,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.371423004119078,52.45712101615946]}"
91,Built,0.26,47,0.0,27.05,1.4,1866.01,34.42,0.47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.380406156960273,52.45712101615946]}"
92,Built,0.2,46,0.0,27.05,1.4,1866.01,34.42,0.37,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.38938930980147,52.45712101615946]}"
93,Built,0.23,46,0.0,27.05,1.4,1865.76,34.42,0.39,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.398372462642664,52.45712101615946]}"
94,Built,0.26,45,0.0,27.05,1.4,1865.64,34.42,0.46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.407355615483858,52.45712101615946]}"
95,Built,0.24,44,0.0,27.05,1.4,1865.24,34.42,0.38,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.416338768325055,52.45712101615946]}"
